kanji,kana,explanation,phrase1_jp,phrase1_en,phrase2_jp,phrase2_en,phrase3_jp,phrase3_en,phrase4_jp,phrase4_en,phrase5_jp,phrase5_en,save_time,memory_times
明かす,あかす,confide、show、testify、bear witness、evidence、prove、make pass、pass、pass、spend,この事はだれにも明かさずにおこう.,I'll keep this [the matter] to myself.,さあ、一晩飲み明かすぞ。,Let's drink the night away.,科学は自然の神秘を解き明かす.,Science unlocks the secrets of nature.,花を引いて夜を明かすことがある,They sometimes play the night away.,この秘密は君だけに明かすのだ,It is for your private ears.,2020-02-28 16:00:29.845383,0
赤らむ,あからむ,blush、redden、flush、crimson、redden,赤らむ顔の袖屏風,She hid her blushes behind her sleeve.,また、『古事記伝』では「ホアカリ」は「穂赤熟」で、稲穂が熟して赤らむ意味としており、天皇に繋る他の神と同様、稲に関係のある名前でもある。,"Also, in ""Kojikiden"" (Commentaries on the Kojiki), 'Hoakari' is written in a set of characters that expresses ripened and redden ears of rice; therefore, just like other gods that are linked to the Emperor, its name also is related to rice.",,,,,,,2020-02-28 16:00:36.444043,0
あざ笑う,あざわらう,laugh at、make fun、ridicule、jest at、poke fun、rib、blackguard、roast、guy,恋は錠前屋をあざ笑う,Love laughs at locksmiths.,シルバーは、あざ笑うように尋ねた。,asked Silver derisively.,私はあなたが彼女をあざ笑う仕方が気に入らない。,I don't like the way you laugh at her.,間違えたからと言って彼をあざ笑うな。,Don't laugh at him for making a mistake.,デニスはウィルソンさんの丸い顔をあざ笑う。,Dennis laughs at Wilson's round face.,2020-02-28 16:00:42.986697,0
焦る,あせる,to be in a hurry; to be impatient; to be flustered; to lose one's presence of mind; to be surprised,焦るな.,Don't rush it.｜Take your time about it.｜Take it easy.,そんなに焦るには及ばない.,There is no need to be in such a hurry.,焦ると損をする.,Haste makes waste. 【諺】,彼は焦る。,He is irritated.,私は焦ることが嫌いです。,I hate getting impatient.,2020-02-28 16:00:49.364335,0
誂える,あつらえる,order,各相の物理的特性を各組織型の生体力学的特性に合うように誂えることによって、ならびにそれぞれの組織型に対する各相の生化学的適合性を、異なる組織の成長および修復を支持するように最適化することによって、特定の組織型のために調整された二相または多相の栓を提供すること。,To provide a biphasic or multiphasic plug adjusted to the specific tissue types by customizing the physical properties of each phase to accommodate the biomechanical properties of each tissue type and optimizing the biochemical compatibility of each phase to its respective tissue type to growth and repair of the tissues.,,,,,,,,,2020-02-28 16:00:55.703969,0
愛想,あいそ,entertainment; flattery; amiability; compliment,自分ながら愛想が尽きた.,"I am angry with [mad at] myself.｜I am quite disgusted with my own stupidity [thoughtlessness, etc.].",うちの亭主の甲斐性(かいしょう)のなさには愛想が尽きたわ. ,I must confess I've despaired of my husband; he's so shiftless.,彼女はどの客に対してもにっこり笑ってお愛想を言うことを忘れなかった.,She always had a smile and a pleasant word for every customer who came in.,何のお愛想もございません.,I am sorry that I have nothing better to offer you. 《★英米ではふつうこういうことは言わない》.,彼女のあの態度には愛想も小想も尽き果てたよ.,I was absolutely [completely] disgusted with the way she behaved.,2020-02-28 16:01:02.245623,0
間柄,あいだがら,relation,あの人たちは師弟の間柄です.,Their relationship is that [one] of teacher and student [master and disciple].,君とあの人とはどういう間柄なのですか.,What relation is he to you?｜How are you related to him?,伯父甥の間柄です.,I am his nephew.,伯（叔）父甥の間柄だ,He is my uncle.,師弟の間柄だ,They are master and pupil.,2020-02-28 16:01:08.770275,0
敢えて,あえて,purposely (of something needless、unexpected or seemingly counterproductive、etc.); daringly (doing something); deliberately; intentionally,私は自分が正しいと信じるのであえてこの手段を取る.,I dare to take this step because I am sure that I am in the right.,"あえて言うなら, 彼は政治家としては失敗だった.","If I were to venture an opinion, I would say that he was a failure as statesman.",あえて驚くに足りない.,There is nothing particularly strange about it.｜I don't see why you should be surprised at it.,敢えて何々せん,I shall presume to.,敢えて言う,I venture to say―I shall take upon me to say―that.,2020-02-28 16:01:15.363935,0
あくどい,あくどい,showy、jazzy、flashy、gaudy、sporty、meretricious、gilded、specious、tatty、gimcrack,目的のためならどんなあくどい事でも平気でするという話です.,"It is said that they will use any means, however unscrupulous, to get what they want [【形式ばった表現】 to achieve their ends].",あくどい事をするな。,Don't do wicked things.,王女があくどい化粧をしていた。,The princess was wearing too much makeup.,かなりあくどい事をしてきたそうだな。,I hear you've done some pretty extreme stuff.,このため、時代劇などでは検校はあくどい金貸し業者として描かれていることがある。,"Because of this, in the period dramas such kengyo are sometimes described as crass loan sharks.",2020-02-28 16:01:22.976696,0
痣,あざ,blotch,痣がひっこんだ,The bruise has disappeared.,その痣は消えます。,That birthmark will go away.,全身痣だらけだ,He is black and blue all over―a mass of bruises.,全身痣｛あざ｝だらけ,I am black and blue all over.,あの人は右の目の上に痣がある,He has a mole over his right eye.,2020-02-28 16:01:29.429341,0
